application_id,candidate_id,req_id,applied_at,source,current_status,withdrawn_flag
APP-1gafunh7,C-3fkeoub,REQ-b8jod5,2024-09-26,Indeed,Applied,False
APP-wyykatcr,C-a46ayn2,REQ-k922ln,2025-12-15,LinkedIn,Applied,False
APP-evpg4gma,C-2pw5ues,REQ-736mv3,2024-11-06,Indeed,Applied,False
APP-xqwouyaa,C-x7pwo6c,REQ-jqpxvl,2025-12-17,LinkedIn,Applied,False
APP-u908nm8h,C-jzwlsd4,REQ-ejms73,2025-06-21,LinkedIn,Applied,False
APP-74tjh56r,C-qh96ycf,REQ-m5p39v,2025-02-25,University Recruiting,Applied,False
APP-lzkwe9cz,C-j7ktspy,REQ-20c5rl,2025-05-11,Indeed,Applied,False
APP-artgbjbi,C-1846849,REQ-93t3m5,2024-06-11,Employee Referral,Applied,False
APP-a57hwue4,C-ekz83y0,REQ-y93pom,2024-06-13,Company Website,Applied,False
APP-nya55hjc,C-lw3jgeq,REQ-ptndbb,2025-07-19,Employee Referral,Applied,False
APP-y1gqff55,C-j88qeoz,REQ-1yxi1q,2024-10-11,Company Website,Applied,False
APP-epu0f80g,C-mh0znsg,REQ-9qkjfp,2024-05-17,Indeed,Applied,False
APP-yd1osep7,C-7mv5nlz,REQ-93rc1y,2025-12-16,University Recruiting,Applied,False
APP-oevgdgoj,C-6fkps0d,REQ-qsu2ei,2025-02-19,Company Website,Applied,False
APP-p2gbudy7,C-hapwf52,REQ-dpyta7,2025-02-19,University Recruiting,Applied,False
APP-xa8a2cs2,C-d31k9qm,REQ-fym0tm,2025-01-19,Employee Referral,Applied,False
APP-mq2ajlto,C-4slqgbu,REQ-2pajn3,2025-09-25,Employee Referral,Applied,False
APP-c2spvbax,C-anik5j4,REQ-vskk1h,2025-10-31,LinkedIn,Applied,False
APP-xox3mslz,C-n78bmyy,REQ-g5m61i,2024-11-03,LinkedIn,Applied,False
APP-rfgx9i0t,C-4unffqi,REQ-vskk1h,2025-06-17,Employee Referral,Applied,False
APP-ey6emdf3,C-a3ah7u0,REQ-e4of63,2025-07-14,Indeed,Applied,False
APP-phnb5vng,C-bkv4yka,REQ-ukp581,2024-12-05,Company Website,Applied,False
APP-lcqzj82z,C-iehc2yi,REQ-jzae55,2024-12-21,LinkedIn,Applied,False
APP-yjm3ppso,C-7f1811m,REQ-unzu6o,2025-07-10,LinkedIn,Applied,False
APP-xf823qxa,C-bceth28,REQ-1c4w9i,2024-04-14,Employee Referral,Applied,False
APP-tci9su6d,C-pjhl5nz,REQ-bb3l5z,2024-05-25,Indeed,Applied,False
APP-3mo2op6v,C-of66joz,REQ-dv8i96,2024-10-25,LinkedIn,Applied,False
APP-jobru2ql,C-3wrdhw9,REQ-7381on,2025-10-07,LinkedIn,Applied,False
APP-5q2efhaz,C-oakgdes,REQ-8sdqw5,2025-09-29,LinkedIn,Applied,False
APP-ksfqe50c,C-hdkkg1r,REQ-7zqlg4,2025-04-08,Employee Referral,Applied,False
APP-vytsu2ms,C-xd8t18s,REQ-230jns,2025-01-05,LinkedIn,Applied,False
APP-8w5gwmry,C-kzebbk7,REQ-xr2cs1,2024-07-29,Indeed,Applied,False
APP-zj6wuopz,C-8okr7ph,REQ-hnxiyy,2024-05-04,Company Website,Applied,False
APP-1kkeqvi0,C-s3zrb9o,REQ-yiw59o,2025-12-30,Indeed,Applied,False
APP-mzvttxo2,C-snffykp,REQ-p7rn3j,2024-11-23,LinkedIn,Applied,False
APP-i953467w,C-7h23c42,REQ-6umh4g,2025-11-03,Indeed,Applied,False
APP-ogjcj5do,C-jk8xnlo,REQ-p7x80n,2024-08-26,Employee Referral,Applied,False
APP-59g5hg5u,C-k8sxfi3,REQ-tqeaeq,2024-03-22,LinkedIn,Applied,False
APP-hqkjnz05,C-0lb6yaa,REQ-qfx7a1,2024-07-20,Employee Referral,Applied,False
APP-jkfcqjuk,C-9pppcgq,REQ-b1kwvg,2025-10-05,University Recruiting,Applied,False
APP-rk1ctzgw,C-4b70ldo,REQ-hh3tt2,2025-08-11,Recruiter Outreach,Applied,False
APP-idnfe9o1,C-hqueu1o,REQ-vhtnbb,2025-02-05,Recruiter Outreach,Applied,False
APP-gjngvspj,C-wkrpc3y,REQ-qfx7a1,2025-12-06,LinkedIn,Applied,False
APP-lxwtr1ue,C-ohkk7qg,REQ-rbxp2i,2025-07-23,LinkedIn,Applied,False
APP-clen7ct4,C-ddinz29,REQ-y7e5rx,2025-06-23,Company Website,Applied,False
