candidate_id,created_at,location,years_experience,education_level,primary_role_family,work_authorization
C-xaji0y6,2024-04-12,"Austin, TX",2,Associate,Sales,US Citizen/PR
C-bhsahxt,2024-03-12,"Fremont, CA",7,Bootcamp,Supply Chain,H-1B
C-3a3zmf8,2025-12-01,"Palo Alto, CA",0,Bachelors,Data Analytics,Other/Unknown
C-d4v30t9,2024-08-02,"New York, NY",13,Bachelors,Supply Chain,H-1B
C-3w5uzbi,2024-11-26,"Palo Alto, CA",0,Bachelors,HR,F-1 OPT
C-5nq4fmy,2025-10-25,"Chicago, IL",3,Bachelors,Supply Chain,F-1 OPT
C-tiqj7yh,2024-05-10,"Palo Alto, CA",3,Bachelors,Software Engineering,US Citizen/PR
C-2oc6uzh,2024-07-10,"New York, NY",7,Bootcamp,Finance,Other/Unknown
C-ff0t0pv,2024-10-03,"Palo Alto, CA",10,Masters,Software Engineering,Other/Unknown
C-dbdw2pc,2024-09-09,"New York, NY",11,Associate,Sales,H-1B
C-84azytj,2026-01-17,"Chicago, IL",5,PhD,Data Analytics,H-1B
C-pq85jsg,2025-05-25,"Austin, TX",3,PhD,HR,F-1 OPT
C-f1t2tal,2025-11-12,"Austin, TX",3,Bachelors,Operations,H-1B
C-iiuc039,2025-07-16,"Seattle, WA",4,Masters,Software Engineering,Other/Unknown
C-8fsv871,2025-07-20,"Chicago, IL",4,Masters,Finance,H-1B
C-oyn6qic,2025-04-29,"Austin, TX",6,Associate,Supply Chain,F-1 OPT
C-vazccbl,2025-10-08,"Seattle, WA",2,Masters,Operations,Other/Unknown
C-he7ur23,2025-07-18,"Fremont, CA",8,Bachelors,Data Analytics,Other/Unknown
C-mo5bxxc,2024-12-05,"Chicago, IL",8,PhD,HR,US Citizen/PR
C-igqpki7,2025-03-03,"New York, NY",0,Associate,Data Analytics,US Citizen/PR
C-xtad1io,2025-05-23,"New York, NY",3,Masters,HR,Other/Unknown
C-6fao72k,2024-03-21,"Chicago, IL",6,Associate,Finance,Other/Unknown
C-fk8ut0c,2025-07-15,"Seattle, WA",0,Bootcamp,Supply Chain,F-1 OPT
C-cs4cc5o,2025-01-24,"Seattle, WA",9,Masters,Supply Chain,US Citizen/PR
C-wpvs7hz,2025-07-19,"Fremont, CA",0,PhD,Sales,F-1 OPT
C-ykl1cq9,2025-12-03,"Austin, TX",5,Bachelors,Supply Chain,F-1 OPT
C-semcikp,2025-02-05,"Seattle, WA",5,PhD,Supply Chain,US Citizen/PR
C-yt7d5j6,2024-09-27,"Chicago, IL",8,Associate,Software Engineering,H-1B
C-khmy4sj,2025-03-31,"Remote, US",8,Bachelors,Data Analytics,Other/Unknown
C-3bme9fp,2025-12-02,"Chicago, IL",15,Bootcamp,Supply Chain,US Citizen/PR
C-e8yfbnt,2024-10-22,"New York, NY",6,Masters,Data Analytics,H-1B
C-n78bmyy,2024-02-22,"Palo Alto, CA",7,Associate,HR,Other/Unknown
C-907if2g,2024-08-04,"New York, NY",6,Bachelors,Software Engineering,H-1B
C-2oy0ifz,2024-02-10,"New York, NY",0,Bachelors,HR,Other/Unknown
C-i3qk2ia,2024-06-05,"Fremont, CA",7,Bootcamp,Operations,H-1B
C-58kxo9t,2025-11-05,"Austin, TX",8,Bachelors,Operations,F-1 OPT
C-u9bvm2p,2025-02-22,"Seattle, WA",1,Bachelors,Sales,F-1 OPT
C-jza7tz0,2024-05-14,"Chicago, IL",3,Masters,Operations,Other/Unknown
C-cxll4zk,2024-07-19,"Palo Alto, CA",0,Bootcamp,Operations,Other/Unknown
C-ztgxn0g,2024-02-17,"Seattle, WA",9,PhD,Sales,US Citizen/PR
C-kh2vlpy,2025-05-17,"Seattle, WA",0,Bootcamp,HR,F-1 OPT
C-xkxwd8i,2024-04-08,"Palo Alto, CA",0,Masters,HR,F-1 OPT
C-fb9w1q5,2025-11-14,"Seattle, WA",8,Masters,Finance,Other/Unknown
C-rixa11d,2026-01-08,"New York, NY",6,Masters,Software Engineering,Other/Unknown
C-bi4q2y9,2025-09-04,"Seattle, WA",1,PhD,HR,Other/Unknown
C-wzs3t60,2025-02-01,"New York, NY",8,Bootcamp,Operations,F-1 OPT
C-4j1ripz,2025-01-27,"Fremont, CA",2,PhD,Operations,H-1B
C-6cfnfho,2025-04-05,"Palo Alto, CA",6,Associate,Sales,Other/Unknown
C-c3o18a5,2025-11-21,"Seattle, WA",5,Bootcamp,Sales,US Citizen/PR
C-7ko64t0,2025-07-17,"Remote, US",3,Associate,Software Engineering,Other/Unknown
C-hpbmyof,2024-04-05,"New York, NY",1,Masters,Supply Chain,US Citizen/PR
C-6vxdp5g,2024-08-18,"Palo Alto, CA",6,Bootcamp,Operations,F-1 OPT
C-qm5k8p4,2026-01-18,"New York, NY",0,Bachelors,Finance,US Citizen/PR
C-9mx2x18,2025-06-08,"Fremont, CA",5,Bachelors,Supply Chain,F-1 OPT
