offer_id,application_id,candidate_id,req_id,offered_at,offer_status,comp_band
OFF-nh0m2nq,APP-1gafunh7,C-3fkeoub,REQ-b8jod5,2024-10-23T00:00:00,Accepted,Band 4
OFF-541b9ej,APP-nya55hjc,C-lw3jgeq,REQ-ptndbb,2025-09-01T00:00:00,Accepted,Band 3
OFF-qzscayt,APP-phnb5vng,C-bkv4yka,REQ-ukp581,2025-01-20T00:00:00,Accepted,Band 2
OFF-5fu6a5s,APP-vytsu2ms,C-xd8t18s,REQ-230jns,2025-02-08T00:00:00,Declined,Band 2
OFF-7xdlg4t,APP-mzvttxo2,C-snffykp,REQ-p7rn3j,2024-12-18T00:00:00,Accepted,Band 2
OFF-4dwefs6,APP-gztpzmns,C-hgp5cpa,REQ-z4gjhj,2024-09-30T00:00:00,Accepted,Band 1
OFF-k591mb0,APP-jocvsgfg,C-zko0e49,REQ-7m5c6r,2024-04-05T00:00:00,Accepted,Band 4
OFF-j6w8v50,APP-iou3wbvd,C-tg5pizx,REQ-pmyu2u,2025-05-13T00:00:00,Accepted,Band 2
OFF-wmbscn7,APP-3vbla91j,C-8uflv4b,REQ-amslsl,2025-10-13T00:00:00,Accepted,Band 3
OFF-o8x061w,APP-74ahjoys,C-y8av2os,REQ-jpvwp8,2024-04-16T00:00:00,Accepted,Band 4
OFF-2m6q8h9,APP-f70jvr3v,C-4a1nfxg,REQ-rr7fie,2025-07-06T00:00:00,Declined,Band 2
OFF-spckt0v,APP-6oormr9p,C-snffykp,REQ-2pajn3,2025-10-23T00:00:00,Accepted,Band 1
OFF-un7lblt,APP-6db0ic1k,C-fbv46mu,REQ-fym0tm,2024-10-12T00:00:00,Declined,Band 2
OFF-j0mpw3g,APP-1dp6g73j,C-a86477t,REQ-0xh2me,2024-03-30T00:00:00,Accepted,Band 2
OFF-isybg67,APP-td2fqqi5,C-70s1f53,REQ-2pajn3,2025-07-24T00:00:00,Accepted,Band 3
OFF-r2alnls,APP-70sdotai,C-c01arxa,REQ-93rc1y,2026-02-22T00:00:00,Accepted,Band 1
